"","State","StateFIPS","CountyFIPS","AreaName","Insurance Coverage"
"3992","CO",8,107,"Routt County, Colorado",23508
"3993","CO",8,109,"Saguache County, Colorado",6214
"3994","CO",8,111,"San Juan County, Colorado",606
"3995","CO",8,113,"San Miguel County, Colorado",7645
"3996","CO",8,115,"Sedgwick County, Colorado",2335
"3997","CO",8,117,"Summit County, Colorado",28857
"3998","CO",8,119,"Teller County, Colorado",23103
"3999","CO",8,121,"Washington County, Colorado",4522
"4000","CO",8,123,"Weld County, Colorado",268202
"4001","CO",8,125,"Yuma County, Colorado",10041
"4495","CT",9,1,"Fairfield County, Connecticut",931369
"4496","CT",9,3,"Hartford County, Connecticut",881615
"4497","CT",9,5,"Litchfield County, Connecticut",184877
"4498","CT",9,7,"Middlesex County, Connecticut",163258
"4499","CT",9,9,"New Haven County, Connecticut",851629
"4500","CT",9,11,"New London County, Connecticut",261251
"4501","CT",9,13,"Tolland County, Connecticut",148817
"4502","CT",9,15,"Windham County, Connecticut",115783
"4662","DC",11,1,"District of Columbia, District of Columbia",636610
"4673","DE",10,1,"Kent County, Delaware",166055
"4674","DE",10,3,"New Castle County, Delaware",541226
"4675","DE",10,5,"Sussex County, Delaware",204507
"4769","FL",12,1,"Alachua County, Florida",251519
"4770","FL",12,3,"Baker County, Florida",24631
"4771","FL",12,5,"Bay County, Florida",171019
"4772","FL",12,7,"Bradford County, Florida",23903
"4773","FL",12,9,"Brevard County, Florida",548302
"4774","FL",12,11,"Broward County, Florida",1832097
"4775","FL",12,13,"Calhoun County, Florida",12585
"4776","FL",12,15,"Charlotte County, Florida",162538
"4777","FL",12,17,"Citrus County, Florida",137765
"4778","FL",12,19,"Clay County, Florida",194380
"4779","FL",12,21,"Collier County, Florida",339234
"4780","FL",12,23,"Columbia County, Florida",63166
"4781","FL",12,27,"DeSoto County, Florida",33136
"4782","FL",12,29,"Dixie County, Florida",14574
"4783","FL",12,31,"Duval County, Florida",872854
"4784","FL",12,33,"Escambia County, Florida",290220
"4785","FL",12,35,"Flagler County, Florida",100410
"4786","FL",12,37,"Franklin County, Florida",9782
"4787","FL",12,39,"Gadsden County, Florida",43969
"4788","FL",12,41,"Gilchrist County, Florida",15808
"4789","FL",12,43,"Glades County, Florida",11922
"4790","FL",12,45,"Gulf County, Florida",13459
"4791","FL",12,47,"Hamilton County, Florida",11047
"4792","FL",12,49,"Hardee County, Florida",25794
"4793","FL",12,51,"Hendry County, Florida",36827
"4794","FL",12,53,"Hernando County, Florida",172961
"4795","FL",12,55,"Highlands County, Florida",97283
"4796","FL",12,57,"Hillsborough County, Florida",1290830
"4797","FL",12,59,"Holmes County, Florida",17718
"4798","FL",12,61,"Indian River County, Florida",141532
"4799","FL",12,63,"Jackson County, Florida",41347
"4800","FL",12,65,"Jefferson County, Florida",11742
"4801","FL",12,67,"Lafayette County, Florida",7014
"4802","FL",12,69,"Lake County, Florida",307095
"4803","FL",12,71,"Lee County, Florida",658174
"4804","FL",12,73,"Leon County, Florida",279510
"4805","FL",12,75,"Levy County, Florida",39380
"4806","FL",12,77,"Liberty County, Florida",6774
"4807","FL",12,79,"Madison County, Florida",16683
"4808","FL",12,81,"Manatee County, Florida",340989
"4809","FL",12,83,"Marion County, Florida",328847
"4810","FL",12,85,"Martin County, Florida",148755
"4811","FL",12,86,"Miami-Dade County, Florida",2612203
"4812","FL",12,87,"Monroe County, Florida",74196
"4813","FL",12,89,"Nassau County, Florida",75138
"4814","FL",12,91,"Okaloosa County, Florida",181098
"4815","FL",12,93,"Okeechobee County, Florida",36234
