"","State","StateFIPS","CountyFIPS","AreaName","Total Population","Total Male","Total Female","Median Age","Median Age_Male","Median Age_Female"
"2288","CA",6,59,"Orange County, California",3116069,1539600,1576469,"37.1","35.8","38.4"
"2289","CA",6,61,"Placer County, California",366280,178729,187551,"41.0","39.7","42.2"
"2290","CA",6,63,"Plumas County, California",18966,9608,9358,"51.3","50.3","52.0"
"2291","CA",6,65,"Riverside County, California",2298032,1143477,1154555,"34.5","33.5","35.5"
"2292","CA",6,67,"Sacramento County, California",1465832,717117,748715,"35.5","34.2","36.8"
"2293","CA",6,69,"San Benito County, California",57557,28773,28784,"35.0","34.2","35.7"
"2294","CA",6,71,"San Bernardino County, California",2094769,1042053,1052716,"32.5","31.4","33.6"
"2295","CA",6,73,"San Diego County, California",3223096,1618945,1604151,"35.1","33.7","36.5"
"2296","CA",6,75,"San Francisco County, California",840763,427909,412854,"38.5","38.4","38.6"
"2297","CA",6,77,"San Joaquin County, California",708554,352400,356154,"33.5","32.4","34.6"
"2298","CA",6,79,"San Luis Obispo County, California",276517,140953,135564,"39.3","37.1","41.5"
"2299","CA",6,81,"San Mateo County, California",748731,368416,380315,"39.5","38.2","40.8"
"2300","CA",6,83,"Santa Barbara County, California",435850,218483,217367,"33.6","32.4","35.0"
"2301","CA",6,85,"Santa Clara County, California",1868149,939004,929145,"36.8","35.9","37.8"
"2302","CA",6,87,"Santa Cruz County, California",269278,133714,135564,"37.0","35.9","38.3"
"2303","CA",6,89,"Shasta County, California",178942,87851,91091,"42.2","40.2","43.9"
"2304","CA",6,91,"Sierra County, California",3021,1505,1516,"54.5","54.4","55.1"
"2305","CA",6,93,"Siskiyou County, California",43895,21825,22070,"47.8","45.9","49.0"
"2306","CA",6,95,"Solano County, California",425753,211881,213872,"37.3","35.9","38.7"
"2307","CA",6,97,"Sonoma County, California",495078,242817,252261,"40.8","39.2","42.6"
"2308","CA",6,99,"Stanislaus County, California",527367,261045,266322,"33.5","32.3","34.8"
"2309","CA",6,101,"Sutter County, California",95247,47349,47898,"35.4","34.1","36.4"
"2310","CA",6,103,"Tehama County, California",63152,31489,31663,"40.5","39.3","42.0"
"2311","CA",6,105,"Trinity County, California",13373,6878,6495,"50.3","50.1","50.5"
"2312","CA",6,107,"Tulare County, California",454033,227426,226607,"30.3","29.6","30.9"
"2313","CA",6,109,"Tuolumne County, California",54079,28218,25861,"48.6","46.4","51.1"
"2314","CA",6,111,"Ventura County, California",840833,416484,424349,"37.1","35.8","38.4"
"2315","CA",6,113,"Yolo County, California",207320,100937,106383,"30.9","30.5","31.4"
"2316","CA",6,115,"Yuba County, California",73437,37300,36137,"32.1","31.0","33.2"
"3938","CO",8,1,"Adams County, Colorado",471206,237107,234099,"33.0","32.6","33.5"
"3939","CO",8,3,"Alamosa County, Colorado",16269,7972,8297,"30.1","29.4","30.4"
"3940","CO",8,5,"Arapahoe County, Colorado",608310,299103,309207,"36.1","35.0","37.4"
"3941","CO",8,7,"Archuleta County, Colorado",12174,6202,5972,"49.6","48.0","51.6"
"3942","CO",8,9,"Baca County, Colorado",3701,1776,1925,"47.6","46.8","48.4"
"3943","CO",8,11,"Bent County, Colorado",5895,4046,1849,"41.1","38.7","50.3"
"3944","CO",8,13,"Boulder County, Colorado",310032,155795,154237,"35.8","34.4","37.1"
"3945","CO",8,14,"Broomfield County, Colorado",60699,30075,30624,"37.5","36.6","38.1"
"3946","CO",8,15,"Chaffee County, Colorado",18309,9798,8511,"49.2","45.8","51.4"
"3947","CO",8,17,"Cheyenne County, Colorado",2002,1051,951,"37.0","37.3","36.5"
"3948","CO",8,19,"Clear Creek County, Colorado",9136,4724,4412,"48.0","47.0","48.1"
"3949","CO",8,21,"Conejos County, Colorado",8249,4111,4138,"38.4","38.1","39.0"
"3950","CO",8,23,"Costilla County, Colorado",3581,1866,1715,"49.0","47.6","52.2"
"3951","CO",8,25,"Crowley County, Colorado",5551,3145,2406,"35.5","38.6","30.1"
"3952","CO",8,27,"Custer County, Colorado",4303,2148,2155,"56.4","58.5","55.0"
"3953","CO",8,29,"Delta County, Colorado",30214,15148,15066,"47.3","45.3","48.8"
"3954","CO",8,31,"Denver County, Colorado",649654,324730,324924,"34.1","33.8","34.3"
"3955","CO",8,33,"Dolores County, Colorado",1862,1017,845,"39.9","37.6","48.6"
"3956","CO",8,35,"Douglas County, Colorado",306974,152339,154635,"37.6","36.9","38.2"
"3957","CO",8,37,"Eagle County, Colorado",52576,27887,24689,"35.6","35.4","35.7"
"3958","CO",8,39,"Elbert County, Colorado",23855,11969,11886,"45.1","45.1","45.2"
"3959","CO",8,41,"El Paso County, Colorado",655024,329550,325474,"33.6","32.2","35.4"
"3960","CO",8,43,"Fremont County, Colorado",46809,27003,19806,"43.5","40.5","49.0"
"3961","CO",8,45,"Garfield County, Colorado",57076,29186,27890,"35.9","35.8","36.1"
"3962","CO",8,47,"Gilpin County, Colorado",5605,2878,2727,"44.7","44.6","44.8"
"3963","CO",8,49,"Grand County, Colorado",14411,7689,6722,"42.5","42.4","42.6"
"3964","CO",8,51,"Gunnison County, Colorado",15651,8427,7224,"34.3","34.1","34.8"
"3965","CO",8,53,"Hinsdale County, Colorado",874,416,458,"55.2","56.2","54.0"
"3966","CO",8,55,"Huerfano County, Colorado",6502,3290,3212,"53.5","52.4","54.9"
"3967","CO",8,57,"Jackson County, Colorado",1335,709,626,"50.8","50.6","50.9"
"3968","CO",8,59,"Jefferson County, Colorado",552344,274525,277819,"40.4","39.0","41.9"
"3969","CO",8,61,"Kiowa County, Colorado",1463,666,797,"41.2","41.4","40.9"
"3970","CO",8,63,"Kit Carson County, Colorado",7980,4379,3601,"38.9","38.0","41.9"
"3971","CO",8,65,"Lake County, Colorado",7362,4021,3341,"39.0","38.9","39.0"
"3972","CO",8,67,"La Plata County, Colorado",53182,27010,26172,"38.8","37.6","40.0"
"3973","CO",8,69,"Larimer County, Colorado",318227,158367,159860,"35.5","34.4","36.7"
"3974","CO",8,71,"Las Animas County, Colorado",14503,7467,7036,"45.0","42.2","48.0"
"3975","CO",8,73,"Lincoln County, Colorado",5478,3212,2266,"37.8","35.8","44.0"
"3976","CO",8,75,"Logan County, Colorado",21928,11889,10039,"37.6","36.1","41.6"
"3977","CO",8,77,"Mesa County, Colorado",147834,73340,74494,"38.4","36.8","40.1"
"3978","CO",8,79,"Mineral County, Colorado",733,381,352,"60.9","60.0","61.9"
