,State,StateFIPS,CountyFIPS,AreaName,Median Income
2300,CA,6,83,"Santa Barbara County, California",63985
2301,CA,6,85,"Santa Clara County, California",96310
2302,CA,6,87,"Santa Cruz County, California",67256
2303,CA,6,89,"Shasta County, California",44620
2304,CA,6,91,"Sierra County, California",42833
2305,CA,6,93,"Siskiyou County, California",37170
2306,CA,6,95,"Solano County, California",66828
2307,CA,6,97,"Sonoma County, California",64240
2308,CA,6,99,"Stanislaus County, California",50125
2309,CA,6,101,"Sutter County, California",52017
2310,CA,6,103,"Tehama County, California",41001
2311,CA,6,105,"Trinity County, California",34974
2312,CA,6,107,"Tulare County, California",42031
2313,CA,6,109,"Tuolumne County, California",50306
2314,CA,6,111,"Ventura County, California",77348
2315,CA,6,113,"Yolo County, California",54989
2316,CA,6,115,"Yuba County, California",46892
3938,CO,8,1,"Adams County, Colorado",58946
3939,CO,8,3,"Alamosa County, Colorado",32395
3940,CO,8,5,"Arapahoe County, Colorado",63265
3941,CO,8,7,"Archuleta County, Colorado",46646
3942,CO,8,9,"Baca County, Colorado",38000
3943,CO,8,11,"Bent County, Colorado",36791
3944,CO,8,13,"Boulder County, Colorado",70961
3945,CO,8,14,"Broomfield County, Colorado",81898
3946,CO,8,15,"Chaffee County, Colorado",51092
3947,CO,8,17,"Cheyenne County, Colorado",52554
3948,CO,8,19,"Clear Creek County, Colorado",67710
3949,CO,8,21,"Conejos County, Colorado",36652
3950,CO,8,23,"Costilla County, Colorado",31321
3951,CO,8,25,"Crowley County, Colorado",31151
3952,CO,8,27,"Custer County, Colorado",35000
3953,CO,8,29,"Delta County, Colorado",42452
3954,CO,8,31,"Denver County, Colorado",53637
3955,CO,8,33,"Dolores County, Colorado",31875
3956,CO,8,35,"Douglas County, Colorado",102964
3957,CO,8,37,"Eagle County, Colorado",72214
3958,CO,8,39,"Elbert County, Colorado",84963
3959,CO,8,41,"El Paso County, Colorado",58206
3960,CO,8,43,"Fremont County, Colorado",40423
3961,CO,8,45,"Garfield County, Colorado",56590
3962,CO,8,47,"Gilpin County, Colorado",65670
3963,CO,8,49,"Grand County, Colorado",63628
3964,CO,8,51,"Gunnison County, Colorado",48071
3965,CO,8,53,"Hinsdale County, Colorado",57083
3966,CO,8,55,"Huerfano County, Colorado",31715
3967,CO,8,57,"Jackson County, Colorado",46014
3968,CO,8,59,"Jefferson County, Colorado",70164
3969,CO,8,61,"Kiowa County, Colorado",40304
3970,CO,8,63,"Kit Carson County, Colorado",40603
3971,CO,8,65,"Lake County, Colorado",45367
3972,CO,8,67,"La Plata County, Colorado",60278
3973,CO,8,69,"Larimer County, Colorado",59805
3974,CO,8,71,"Las Animas County, Colorado",45067
3975,CO,8,73,"Lincoln County, Colorado",39005
3976,CO,8,75,"Logan County, Colorado",42319
3977,CO,8,77,"Mesa County, Colorado",49322
3978,CO,8,79,"Mineral County, Colorado",48125
3979,CO,8,81,"Moffat County, Colorado",51387
3980,CO,8,83,"Montezuma County, Colorado",43553
3981,CO,8,85,"Montrose County, Colorado",43999
3982,CO,8,87,"Morgan County, Colorado",48450
3983,CO,8,89,"Otero County, Colorado",32311
3984,CO,8,91,"Ouray County, Colorado",61624
3985,CO,8,93,"Park County, Colorado",56969
3986,CO,8,95,"Phillips County, Colorado",43639
3987,CO,8,97,"Pitkin County, Colorado",71196
3988,CO,8,99,"Prowers County, Colorado",40179
3989,CO,8,101,"Pueblo County, Colorado",41286
3990,CO,8,103,"Rio Blanco County, Colorado",61842
3991,CO,8,105,"Rio Grande County, Colorado",39672
3992,CO,8,107,"Routt County, Colorado",64963
3993,CO,8,109,"Saguache County, Colorado",33393
3994,CO,8,111,"San Juan County, Colorado",36324
3995,CO,8,113,"San Miguel County, Colorado",56047
3996,CO,8,115,"Sedgwick County, Colorado",44191
3997,CO,8,117,"Summit County, Colorado",67983
3998,CO,8,119,"Teller County, Colorado",62372
3999,CO,8,121,"Washington County, Colorado",45541
4000,CO,8,123,"Weld County, Colorado",60572
4001,CO,8,125,"Yuma County, Colorado",43105
4495,CT,9,1,"Fairfield County, Connecticut",NA
4496,CT,9,3,"Hartford County, Connecticut",NA
4497,CT,9,5,"Litchfield County, Connecticut",NA
4498,CT,9,7,"Middlesex County, Connecticut",NA
4499,CT,9,9,"New Haven County, Connecticut",NA
4500,CT,9,11,"New London County, Connecticut",NA
4501,CT,9,13,"Tolland County, Connecticut",NA
4502,CT,9,15,"Windham County, Connecticut",NA
4662,DC,11,1,"District of Columbia, District of Columbia",70848
4673,DE,10,1,"Kent County, Delaware",54976
4674,DE,10,3,"New Castle County, Delaware",NA
4675,DE,10,5,"Sussex County, Delaware",NA
4769,FL,12,1,"Alachua County, Florida",43073
4770,FL,12,3,"Baker County, Florida",47121
4771,FL,12,5,"Bay County, Florida",47368
4772,FL,12,7,"Bradford County, Florida",41606
4773,FL,12,9,"Brevard County, Florida",48925
4774,FL,12,11,"Broward County, Florida",51968
4775,FL,12,13,"Calhoun County, Florida",34510
4776,FL,12,15,"Charlotte County, Florida",44244
4777,FL,12,17,"Citrus County, Florida",38312
4778,FL,12,19,"Clay County, Florida",58290
4779,FL,12,21,"Collier County, Florida",57452
4780,FL,12,23,"Columbia County, Florida",41926
4781,FL,12,27,"DeSoto County, Florida",35165
4782,FL,12,29,"Dixie County, Florida",36292
4783,FL,12,31,"Duval County, Florida",47690
4784,FL,12,33,"Escambia County, Florida",45390
4785,FL,12,35,"Flagler County, Florida",47866
4786,FL,12,37,"Franklin County, Florida",40401
4787,FL,12,39,"Gadsden County, Florida",35567
4788,FL,12,41,"Gilchrist County, Florida",40623
4789,FL,12,43,"Glades County, Florida",34877
4790,FL,12,45,"Gulf County, Florida",41788
4791,FL,12,47,"Hamilton County, Florida",35048
4792,FL,12,49,"Hardee County, Florida",35457
4793,FL,12,51,"Hendry County, Florida",36771
4794,FL,12,53,"Hernando County, Florida",40945
4795,FL,12,55,"Highlands County, Florida",35093
4796,FL,12,57,"Hillsborough County, Florida",50579
4797,FL,12,59,"Holmes County, Florida",35020
4798,FL,12,61,"Indian River County, Florida",45798
4799,FL,12,63,"Jackson County, Florida",35098
4800,FL,12,65,"Jefferson County, Florida",43355
4801,FL,12,67,"Lafayette County, Florida",35864
4802,FL,12,69,"Lake County, Florida",46403
4803,FL,12,71,"Lee County, Florida",48537
4804,FL,12,73,"Leon County, Florida",46745
4805,FL,12,75,"Levy County, Florida",35782
4806,FL,12,77,"Liberty County, Florida",39406
4807,FL,12,79,"Madison County, Florida",32164
4808,FL,12,81,"Manatee County, Florida",49675
4809,FL,12,83,"Marion County, Florida",39459
4810,FL,12,85,"Martin County, Florida",51593
4811,FL,12,86,"Miami-Dade County, Florida",43129
4812,FL,12,87,"Monroe County, Florida",57290
4813,FL,12,89,"Nassau County, Florida",54116
4814,FL,12,91,"Okaloosa County, Florida",55880
4815,FL,12,93,"Okeechobee County, Florida",35405
4816,FL,12,95,"Orange County, Florida",47943
4817,FL,12,97,"Osceola County, Florida",44254
4818,FL,12,99,"Palm Beach County, Florida",53363
4819,FL,12,101,"Pasco County, Florida",45064
4820,FL,12,103,"Pinellas County, Florida",45819
4821,FL,12,105,"Polk County, Florida",43162
4822,FL,12,107,"Putnam County, Florida",31715
4823,FL,12,109,"St. Johns County, Florida",66194
4824,FL,12,111,"St. Lucie County, Florida",43459
4825,FL,12,113,"Santa Rosa County, Florida",58923
4826,FL,12,115,"Sarasota County, Florida",51766
4827,FL,12,117,"Seminole County, Florida",57010
4828,FL,12,119,"Sumter County, Florida",50350
4829,FL,12,121,"Suwannee County, Florida",36289
4830,FL,12,123,"Taylor County, Florida",36181
4831,FL,12,125,"Union County, Florida",39163
4832,FL,12,127,"Volusia County, Florida",41117
4833,FL,12,129,"Wakulla County, Florida",50340
4834,FL,12,131,"Walton County, Florida",44966
4835,FL,12,133,"Washington County, Florida",38970
5822,GA,13,1,"Appling County, Georgia",37135
5823,GA,13,3,"Atkinson County, Georgia",30933
5824,GA,13,5,"Bacon County, Georgia",37162
5825,GA,13,7,"Baker County, Georgia",44297
5826,GA,13,9,"Baldwin County, Georgia",32460
5827,GA,13,11,"Banks County, Georgia",41472
5828,GA,13,13,"Barrow County, Georgia",52012
5829,GA,13,15,"Bartow County, Georgia",48893
5830,GA,13,17,"Ben Hill County, Georgia",29994
5831,GA,13,19,"Berrien County, Georgia",31835
5832,GA,13,21,"Bibb County, Georgia",36519
5833,GA,13,23,"Bleckley County, Georgia",38991
5834,GA,13,25,"Brantley County, Georgia",37206
5835,GA,13,27,"Brooks County, Georgia",32663
5836,GA,13,29,"Bryan County, Georgia",63327
5837,GA,13,31,"Bulloch County, Georgia",36032
5838,GA,13,33,"Burke County, Georgia",33641
5839,GA,13,35,"Butts County, Georgia",41667
5840,GA,13,37,"Calhoun County, Georgia",25513
5841,GA,13,39,"Camden County, Georgia",52473
5842,GA,13,43,"Candler County, Georgia",30185
5843,GA,13,45,"Carroll County, Georgia",43586
5844,GA,13,47,"Catoosa County, Georgia",50876
5845,GA,13,49,"Charlton County, Georgia",42778
5846,GA,13,51,"Chatham County, Georgia",47218
5847,GA,13,53,"Chattahoochee County, Georgia",43378
5848,GA,13,55,"Chattooga County, Georgia",32913
5849,GA,13,57,"Cherokee County, Georgia",68926
5850,GA,13,59,"Clarke County, Georgia",32162
5851,GA,13,61,"Clay County, Georgia",20438
5852,GA,13,63,"Clayton County, Georgia",40938
5853,GA,13,65,"Clinch County, Georgia",24015
5854,GA,13,67,"Cobb County, Georgia",65873
5855,GA,13,69,"Coffee County, Georgia",33965
5856,GA,13,71,"Colquitt County, Georgia",32409
5857,GA,13,73,"Columbia County, Georgia",71021
5858,GA,13,75,"Cook County, Georgia",35683
5859,GA,13,77,"Coweta County, Georgia",62461
5860,GA,13,79,"Crawford County, Georgia",41825
5861,GA,13,81,"Crisp County, Georgia",31615
5862,GA,13,83,"Dade County, Georgia",46434
5863,GA,13,85,"Dawson County, Georgia",56943
5864,GA,13,87,"Decatur County, Georgia",31284
5865,GA,13,89,"DeKalb County, Georgia",51376
5866,GA,13,91,"Dodge County, Georgia",34271
5867,GA,13,93,"Dooly County, Georgia",28696
5868,GA,13,95,"Dougherty County, Georgia",32084
5869,GA,13,97,"Douglas County, Georgia",53881
5870,GA,13,99,"Early County, Georgia",31680
5871,GA,13,101,"Echols County, Georgia",32959
5872,GA,13,103,"Effingham County, Georgia",63100
5873,GA,13,105,"Elbert County, Georgia",35388
5874,GA,13,107,"Emanuel County, Georgia",32229
5875,GA,13,109,"Evans County, Georgia",37865
5876,GA,13,111,"Fannin County, Georgia",37049
5877,GA,13,113,"Fayette County, Georgia",79066
5878,GA,13,115,"Floyd County, Georgia",41549
5879,GA,13,117,"Forsyth County, Georgia",88816
5880,GA,13,119,"Franklin County, Georgia",33816
5881,GA,13,121,"Fulton County, Georgia",57207
5882,GA,13,123,"Gilmer County, Georgia",40228
5883,GA,13,125,"Glascock County, Georgia",40759
5884,GA,13,127,"Glynn County, Georgia",45918
5885,GA,13,129,"Gordon County, Georgia",41612
5886,GA,13,131,"Grady County, Georgia",34187
5887,GA,13,133,"Greene County, Georgia",42408
5888,GA,13,135,"Gwinnett County, Georgia",60289
5889,GA,13,137,"Habersham County, Georgia",40907
5890,GA,13,139,"Hall County, Georgia",51202
5891,GA,13,141,"Hancock County, Georgia",24925
5892,GA,13,143,"Haralson County, Georgia",41910
5893,GA,13,145,"Harris County, Georgia",63824
5894,GA,13,147,"Hart County, Georgia",37653
5895,GA,13,149,"Heard County, Georgia",41525
5896,GA,13,151,"Henry County, Georgia",60424
5897,GA,13,153,"Houston County, Georgia",53270
5898,GA,13,155,"Irwin County, Georgia",34156
5899,GA,13,157,"Jackson County, Georgia",53379
5900,GA,13,159,"Jasper County, Georgia",42368
5901,GA,13,161,"Jeff Davis County, Georgia",36385
5902,GA,13,163,"Jefferson County, Georgia",26557
5903,GA,13,165,"Jenkins County, Georgia",24604
5904,GA,13,167,"Johnson County, Georgia",34438
5905,GA,13,169,"Jones County, Georgia",51857
5906,GA,13,171,"Lamar County, Georgia",40344
5907,GA,13,173,"Lanier County, Georgia",37605
5908,GA,13,175,"Laurens County, Georgia",32356
5909,GA,13,177,"Lee County, Georgia",61537
5910,GA,13,179,"Liberty County, Georgia",42201
5911,GA,13,181,"Lincoln County, Georgia",34243
5912,GA,13,183,"Long County, Georgia",48863
5913,GA,13,185,"Lowndes County, Georgia",36834
5914,GA,13,187,"Lumpkin County, Georgia",43804
5915,GA,13,189,"McDuffie County, Georgia",36656
5916,GA,13,191,"McIntosh County, Georgia",42988
5917,GA,13,193,"Macon County, Georgia",28684
5918,GA,13,195,"Madison County, Georgia",41912
5919,GA,13,197,"Marion County, Georgia",36242
5920,GA,13,199,"Meriwether County, Georgia",35832
5921,GA,13,201,"Miller County, Georgia",33983
5922,GA,13,205,"Mitchell County, Georgia",31915
5923,GA,13,207,"Monroe County, Georgia",48744
5924,GA,13,209,"Montgomery County, Georgia",34672
5925,GA,13,211,"Morgan County, Georgia",51820
5926,GA,13,213,"Murray County, Georgia",35539
5927,GA,13,215,"Muscogee County, Georgia",42306
5928,GA,13,217,"Newton County, Georgia",49179
5929,GA,13,219,"Oconee County, Georgia",72182
5930,GA,13,221,"Oglethorpe County, Georgia",44226
5931,GA,13,223,"Paulding County, Georgia",60109
5932,GA,13,225,"Peach County, Georgia",41588
5933,GA,13,227,"Pickens County, Georgia",54123
5934,GA,13,229,"Pierce County, Georgia",40247
5935,GA,13,231,"Pike County, Georgia",51338
5936,GA,13,233,"Polk County, Georgia",37853
5937,GA,13,235,"Pulaski County, Georgia",38750
5938,GA,13,237,"Putnam County, Georgia",44299
5939,GA,13,239,"Quitman County, Georgia",31487
5940,GA,13,241,"Rabun County, Georgia",35211
5941,GA,13,243,"Randolph County, Georgia",28377
5942,GA,13,245,"Richmond County, Georgia",37424
5943,GA,13,247,"Rockdale County, Georgia",50455
5944,GA,13,249,"Schley County, Georgia",39375
5945,GA,13,251,"Screven County, Georgia",34466
5946,GA,13,253,"Seminole County, Georgia",34905
5947,GA,13,255,"Spalding County, Georgia",40246
5948,GA,13,257,"Stephens County, Georgia",40315
5949,GA,13,259,"Stewart County, Georgia",21118
5950,GA,13,261,"Sumter County, Georgia",32758
5951,GA,13,263,"Talbot County, Georgia",34078
5952,GA,13,265,"Taliaferro County, Georgia",26306
5953,GA,13,267,"Tattnall County, Georgia",33980
5954,GA,13,269,"Taylor County, Georgia",28143
5955,GA,13,271,"Telfair County, Georgia",26449
5956,GA,13,273,"Terrell County, Georgia",28688
5957,GA,13,275,"Thomas County, Georgia",36641
5958,GA,13,277,"Tift County, Georgia",37653
5959,GA,13,279,"Toombs County, Georgia",33679
5960,GA,13,281,"Towns County, Georgia",37000
5961,GA,13,283,"Treutlen County, Georgia",38596
5962,GA,13,285,"Troup County, Georgia",41489
5963,GA,13,287,"Turner County, Georgia",31806
5964,GA,13,289,"Twiggs County, Georgia",30468
5965,GA,13,291,"Union County, Georgia",40799
5966,GA,13,293,"Upson County, Georgia",35774
5967,GA,13,295,"Walker County, Georgia",41632
5968,GA,13,297,"Walton County, Georgia",54453
5969,GA,13,299,"Ware County, Georgia",34909
5970,GA,13,301,"Warren County, Georgia",29176
5971,GA,13,303,"Washington County, Georgia",37932
5972,GA,13,305,"Wayne County, Georgia",38955
